study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testr.started,text_2.started,textbox.started,text_3.started,mouse.started,testr.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
keys,,,,0,0,0,13,,,,,0.035499999998137355,,0.009295099996961653,0.035499999998137355,0.035499999998137355,1.7541004000231624,1.7962962962962963,1.7242648999672383,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
phone,,,,0,1,1,2,,,,,1.771895100013353,,1.7561012000078335,1.771895100013353,1.771895100013353,2.603724999935366,2.485185185185185,0.8242510999552906,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
mouse,,,,0,2,2,8,,,,,2.618273500003852,,2.6039121999638155,2.618273500003852,2.618273500003852,3.2707850999431685,3.2777777777777777,0.646763600059785,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
cushion,,,,0,3,3,1,,,,,3.2848969999467954,,3.2710023999679834,3.2848969999467954,3.2848969999467954,3.670653500012122,3.2777777777777777,0.3806110000004992,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
chart,,,,0,4,4,6,,,,,3.6856732999440283,,3.6708655999973416,3.6856732999440283,3.6856732999440283,4.520279699936509,3.914814814814815,0.8271222999319434,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
case,,,,0,5,5,10,,,,,4.534713599947281,,4.520482099964283,4.534713599947281,4.534713599947281,5.120600400026888,4.211111111111111,0.5823718000901863,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
marble,,,,0,6,6,3,,,,,5.135210599983111,,5.120810299995355,5.135210599983111,5.135210599983111,5.5216454999754205,4.211111111111111,0.3808766999281943,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
book,,,,0,7,7,0,,,,,5.535256100003608,,5.521826599957421,5.535256100003608,5.535256100003608,6.303831700002775,3.414814814814815,0.7633280000882223,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
poster,,,,0,8,8,14,,,,,6.318591699935496,,6.304027199978009,6.318591699935496,6.318591699935496,6.654043999966234,3.414814814814815,0.3316684999736026,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
pastry,,,,0,9,9,9,,,,,6.668439400033094,,6.654215099988505,6.668439400033094,6.668439400033094,7.453979099984281,2.2185185185185183,0.7815432000206783,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
laptop,,,,0,10,10,5,,,,,7.468331499956548,,7.4542191999498755,7.468331499956548,7.468331499956548,8.35600989998784,1.9185185185185185,0.8802659999346361,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
T-shirt,,,,0,11,11,7,,,,,8.370206199935637,,8.35620579996612,8.370206199935637,8.370206199935637,8.937277699937113,1.6296296296296295,0.5586185000138357,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
police,,,,0,12,12,12,,,,,8.95198419992812,,8.93744709994644,8.95198419992812,8.95198419992812,9.437403799965978,2.5555555555555554,0.4800014999927953,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
cruise,,,,0,13,13,11,,,,,9.452104700030759,,9.43758089991752,9.452104700030759,9.452104700030759,10.053697300027125,3.3555555555555556,0.596459100022912,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
board,,,,0,14,14,4,,,,,10.068801500019617,,10.053890999988653,10.068801500019617,10.068801500019617,10.637603199924342,3.748148148148148,0.5634763000998646,,,,,,,,,,,,,,,437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,m_u_e,mouse,old,,,,,0,0,0,8,10.651858899975196,,,,,,,,10.643192399991676,10.651858899975196,10.651858899975196,10.651858899975196,0.007733800099231303,13.920509199961089,mouse,[0.003703703703703704],[-0.28888888888888886],[1],[0],[0],[3.274439299944788],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,c_a_t,chart,old,,,,,0,1,1,6,13.935460699955001,,,,,,,,13.92148569994606,13.935460699955001,13.935460699955001,13.935460699955001,0.002311500022187829,16.704907799954526,chart,[0.025],[-0.3074074074074074],[1],[0],[0],[2.7807662999257445],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,p_on_,phone,old,,,,,0,2,2,2,16.71893440000713,,,,,,,,16.70538649999071,16.71893440000713,16.71893440000713,16.71893440000713,0.0022443000925704837,19.471659899922088,phone,[0.022222222222222223],[-0.3055555555555556],[1],[0],[0],[2.763534599915147],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,bo_t_e,bottle,new,,,,,0,3,3,18,19.48561219999101,,,,,,,,19.472122799954377,19.48561219999101,19.48561219999101,19.48561219999101,0.0017750000115484,23.20487180002965,bottle,[-0.027777777777777776],[-0.3],[1],[0],[0],[3.730408600065857],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,c_m_ra,camera,new,,,,,0,4,4,19,23.219028700026684,,,,,,,,23.20541830000002,23.219028700026684,23.219028700026684,23.219028700026684,0.002047099987976253,26.60377609997522,camera,[-0.06018518518518518],[-0.29907407407407405],[1],[0],[0],[3.395784799940884],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,_oo_,book,old,,,,,0,5,5,0,26.61919370002579,,,,,,,,26.604420999996364,26.61919370002579,26.61919370002579,26.61919370002579,0.002174300025217235,29.45532239996828,book,[0.041666666666666664],[-0.3111111111111111],[1],[0],[0],[2.8482591999927536],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,_o_ic_,police,old,,,,,0,6,6,12,29.46944859996438,,,,,,,,29.455746699939482,29.46944859996438,29.46944859996438,29.46944859996438,0.001716500031761825,33.73703189997468,police,[0.01574074074074074],[-0.30092592592592593],[1],[0],[0],[4.279108999995515],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,po_s_r,poster,old,,,,,0,7,7,14,33.752874800004065,,,,,,,,33.7374721999513,33.752874800004065,33.752874800004065,33.752874800004065,0.004799699992872775,36.20452329993714,poster,[0.01574074074074074],[-0.29907407407407405],[1],[0],[0],[2.461718599894084],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,_a_t_p,laptop,old,,,,,0,8,8,5,36.219573899987154,,,,,,,,36.20493719994556,36.219573899987154,36.219573899987154,36.219573899987154,0.002096200012601912,39.60780330002308,laptop,[-0.000925925925925926],[-0.29907407407407405],[1],[0],[0],[3.400292999926023],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,b_ar_,board,old,,,,,0,9,9,4,39.61954220000189,,,,,,,,39.6083238000283,39.61954220000189,39.61954220000189,39.61954220000189,0.002222800045274198,43.140323400031775,board,[-0.024074074074074074],[-0.2962962962962963],[1],[0],[0],[3.5292211999185383],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,_ar__e,marble,old,,,,,0,10,10,3,43.152944499976,,,,,,,,43.14076570002362,43.152944499976,43.152944499976,43.152944499976,0.0020946000004187226,46.87363699998241,marble,[-0.03333333333333333],[-0.2935185185185185],[1],[0],[0],[3.7302490000147372],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,k_ys,keys,old,,,,,0,11,11,13,46.88672359997872,,,,,,,,46.874133099918254,46.88672359997872,46.88672359997872,46.88672359997872,0.001755499979481101,49.70603260002099,keys,[-0.016666666666666666],[-0.3037037037037037],[1],[0],[0],[2.8294769999338314],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,v_s_,vase,new,,,,,0,12,12,17,49.72009249997791,,,,,,,,49.706588199944235,49.72009249997791,49.72009249997791,49.72009249997791,0.004027899936772883,52.60438839998096,vase,[-0.016666666666666666],[-0.30462962962962964],[1],[0],[0],[2.893280899967067],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,ta_l_,table,new,,,,,0,13,13,15,52.61996379995253,,,,,,,,52.60499339993112,52.61996379995253,52.61996379995253,52.61996379995253,0.002279000007547438,56.755396499997005,table,[0.003703703703703704],[-0.3037037037037037],[1],[0],[0],[4.1476322000380605],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,t-_hir_,t-shirt,old,,,,,0,14,14,7,56.77043299993966,,,,,,,,56.75576329999603,56.77043299993966,56.77043299993966,56.77043299993966,0.0016789999790489674,60.08820559992455,t-shirt,[-0.013888888888888888],[-0.2796296296296296],[1],[0],[0],[3.3300523000070825],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,c_sh_o_,cushion,old,,,,,0,15,15,1,60.103452699957415,,,,,,,,60.0887187999906,60.103452699957415,60.103452699957415,60.103452699957415,0.002017199993133545,63.02403440000489,cushion,[0.007407407407407408],[-0.3037037037037037],[1],[0],[0],[2.932647699955851],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,cr_i_e,cruise,old,,,,,0,16,16,11,63.037012099986896,,,,,,,,63.02453049994074,63.037012099986896,63.037012099986896,63.037012099986896,0.0019301000284031034,68.9393667000113,crusie,[0.06944444444444445],[-0.31296296296296294],[1],[0],[0],[5.9123956999974325],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,c_s_,case,old,,,,,0,17,17,10,68.95383469993249,,,,,,,,68.93984509992879,68.95383469993249,68.95383469993249,68.95383469993249,0.0017688999650999904,73.10794769995846,case,[-0.005555555555555556],[-0.2851851851851852],[1],[0],[0],[4.165702300029807],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,p_nc_l,pencil,new,,,,,0,18,18,16,73.12068799999543,,,,,,,,73.10862239997368,73.12068799999543,73.12068799999543,73.12068799999543,0.0021832999773323536,76.10615699994378,pencil,[-0.05462962962962963],[-0.30092592592592593],[1],[0],[0],[2.994876699987799],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
,_as_r_,pastry,old,,,,,0,19,19,9,76.12077179993503,,,,,,,,76.10660769999959,76.12077179993503,76.12077179993503,76.12077179993503,0.0026635000249370933,85.44020800001454,mastre,[0.024074074074074074],[-0.30185185185185187],[1],[0],[0],[9.330399699974805],['text_3'],437745,001,2024-11-07_21h13.05.940,word priming,2024.1.5,None,2024-11-07 21h13.13.927874 +0530,
