study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testr.started,text_2.started,textbox.started,text_3.started,mouse.started,testr.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,,,,0,0,0,9,,,,,0.03522399999201298,,0.007351799984462559,0.03522399999201298,0.03522399999201298,1.395102099981159,1.8888888888888888,1.3655197999905795,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
marble,,,,0,1,1,3,,,,,1.4129359000362456,,1.3983640000224113,1.4129359000362456,1.4129359000362456,2.0948195999953896,2.188888888888889,0.6759917000308633,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
mouse,,,,0,2,2,8,,,,,2.109287300030701,,2.095001699985005,2.109287300030701,2.109287300030701,2.794714199961163,2.488888888888889,0.680510799982585,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
police,,,,0,3,3,12,,,,,2.809451699955389,,2.794899999978952,2.809451699955389,2.809451699955389,3.428401199984364,2.937037037037037,0.613730699988082,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
cushion,,,,0,4,4,1,,,,,3.4426463999552652,,3.428594999946654,3.4426463999552652,3.4426463999552652,4.095249900012277,3.4074074074074074,0.6459843000629917,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
poster,,,,0,5,5,14,,,,,4.109433799982071,,4.0954704999458045,4.109433799982071,4.109433799982071,4.761377400020137,3.640740740740741,0.6458517999853939,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
T-shirt,,,,0,6,6,7,,,,,4.776391900028102,,4.761574900010601,4.776391900028102,4.776391900028102,5.5951491999439895,3.1666666666666665,0.8133710999973118,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
keys,,,,0,7,7,13,,,,,5.609589400002733,,5.595337499980815,5.609589400002733,5.609589400002733,6.128806099994108,2.5555555555555554,0.5144241999369115,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
board,,,,0,8,8,4,,,,,6.142642599996179,,6.128981799934991,6.142642599996179,6.142642599996179,6.695164300035685,2.1444444444444444,0.5466589999850839,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
book,,,,0,9,9,0,,,,,6.70964090002235,,6.695366199943237,6.70964090002235,6.70964090002235,7.245359699940309,1.6703703703703703,0.529814500012435,,,,,,,,,,,,,,,,,,,527259,001,2024-11-07_21h06.03.949,word priming,2024.1.5,None,2024-11-07 21h06.11.156909 +0530,
