study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testr.started,text_2.started,textbox.started,text_3.started,mouse.started,testr.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
cushion,,,,0,0,0,1,,,,,0.037471,,0.0095398,0.037471,0.037471,1.9269154,2.592592593,1.8949639,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
T-shirt,,,,0,1,1,7,,,,,1.942409,,1.9281099,1.942409,1.942409,2.6937371,3.303703704,0.7448969,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
book,,,,0,2,2,0,,,,,2.7081657,,2.6939286,2.7081657,2.7081657,3.2435534,3.540740741,0.530852,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
poster,,,,0,3,3,14,,,,,3.25818,,3.2437648,3.25818,3.25818,3.9942333,3.777777778,0.7297751,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
chart,,,,0,4,4,6,,,,,4.009725,,3.9944447,4.009725,4.009725,4.610505,4.037037037,0.5943468,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
marble,,,,0,5,5,3,,,,,4.6257511,,4.6107332,4.6257511,4.6257511,5.2772075,4.244444444,0.6447994,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
keys,,,,0,6,6,13,,,,,5.2920519,,5.2774366,5.2920519,5.2920519,5.9448344,3.144444444,0.6454296,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
phone,,,,0,7,7,2,,,,,5.9586775,,5.9450521,5.9586775,5.9586775,6.5610348,2.255555556,0.5959797,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
police,,,,0,8,8,12,,,,,6.5748639,,6.5612373,6.5748639,6.5748639,7.1607812,1.814814815,0.5788507,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
board,,,,0,9,9,4,,,,,7.1771093,,7.1609698,7.1771093,7.1771093,7.9438998,3.374074074,0.7609302,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
cruise,,,,0,10,10,11,,,,,7.9584797,,7.9441168,7.9584797,7.9584797,8.510802,4.103703704,0.5474903,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
case,,,,0,11,11,10,,,,,8.5251211,,8.5109887,8.5251211,8.5251211,9.0610386,4.411111111,0.5309659,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
laptop,,,,0,12,12,5,,,,,9.0750436,,9.0613004,9.0750436,9.0750436,9.6774153,3.566666667,0.5956749,,,,,,,,,,,,,,,603301,1,2024-11-07_20h55.08.912,word priming,2024.1.5,None,2024-11-07 20h55.15.454515 +0530
